goal	status	chars	seconds	note
66	FAIL_EMIT	-	36	
67	FAIL_EMIT	-	1	
68	FAIL_EMIT	-	1	
69	FAIL_EMIT	-	1	
71	FAIL_EMIT	-	1	
77	FAIL_EMIT	-	2	
91	FAIL_EMIT	-	1	
92	FAIL_EMIT	-	1	
93	FAIL_EMIT	-	1	
94	FAIL_EMIT	-	1	
96	FAIL_EMIT	-	1	
110	FAIL_EMIT	-	2	
114	FAIL_EMIT	-	1	
128	FAIL_EMIT	-	1	
129	FAIL_EMIT	-	1	
132	FAIL_EMIT	-	1	
136	FAIL_EMIT	-	2	
137	FAIL_EMIT	-	1	
143	FAIL_EMIT	-	1	
144	FAIL_EMIT	-	1	
145	FAIL_EMIT	-	1	
146	FAIL_EMIT	-	1	
149	FAIL_EMIT	-	2	
163	FAIL_EMIT	-	1	
164	FAIL_EMIT	-	1	
167	FAIL_EMIT	-	1	
171	FAIL_EMIT	-	1	
172	FAIL_EMIT	-	1	
180	FAIL_EMIT	-	2	
181	FAIL_EMIT	-	1	
184	FAIL_EMIT	-	1	
192	FAIL_EMIT	-	1	
196	FAIL_EMIT	-	1	
197	FAIL_EMIT	-	1	
198	FAIL_EMIT	-	2	
199	FAIL_EMIT	-	1	
200	FAIL_EMIT	-	1	
202	FAIL_EMIT	-	1	
206	FAIL_EMIT	-	1	
207	FAIL_EMIT	-	1	
210	FAIL_EMIT	-	2	
211	FAIL_EMIT	-	1	
213	FAIL_EMIT	-	1	
214	FAIL_EMIT	-	1	
215	FAIL_EMIT	-	1	
216	FAIL_EMIT	-	1	
219	FAIL_EMIT	-	2	
227	FAIL_EMIT	-	1	
231	FAIL_EMIT	-	1	
232	FAIL_EMIT	-	1	
233	FAIL_EMIT	-	1	
234	FAIL_EMIT	-	1	
235	FAIL_EMIT	-	2	
237	FAIL_EMIT	-	1	
